text,intent,entities
"Hey, I'm getting error ERR_TIMEOUT when trying to view my orders",technical_support,"{'action': 'view my orders', 'error_code': 'ERR_TIMEOUT'}"
"The Samsung Galaxy arrived damaged, I need a refund...",refund_request,{'product': 'Samsung Galaxy'}
When will Kindle be back in stock? thanks,product_inquiry,{'product': 'Kindle'}
"The AirPods arrived damaged, I need a refund thank you",refund_request,{'product': 'AirPods'}
"The Nike Air Force arrived damaged, I need a refund please",refund_request,{'product': 'Nike Air Force'}
"Hello, The website won't let me add to cart",technical_support,{'action': 'add to cart'}
"Hello, My password isn't working",account_help,{}
Can you tell me Can you check where order ER54898 is?,order_status,{'order_id': 'ER54898'}
"I was wondering The Samsung Galaxy arrived damaged, I need a refund",refund_request,{'product': 'Samsung Galaxy'}
When will Fitbit be back in stock? please,product_inquiry,{'product': 'Fitbit'}
"The Instant Pot arrived damaged, I need a refund?",refund_request,{'product': 'Instant Pot'}
What are the specs for the Kindle? thank you,product_inquiry,{'product': 'Kindle'}
I want to return my Dyson vacuum?,refund_request,{'product': 'Dyson vacuum'}
Can you tell me I want to return my Nike Air Force,refund_request,{'product': 'Nike Air Force'}
"Hey, What's the status of order #ZC97275?",order_status,{'order_id': 'ZC97275'}
How do I return PlayStation 5??,refund_request,{'product': 'PlayStation 5'}
Has order #CH61470 shipped yet?...,order_status,{'order_id': 'CH61470'}
The app crashes when I update payment info...,technical_support,{'action': 'update payment info'}
Can you tell me I'm getting error ERR_TIMEOUT when trying to update payment info,technical_support,"{'action': 'update payment info', 'error_code': 'ERR_TIMEOUT'}"
Can you tell me When will MacBook Pro be back in stock?,product_inquiry,{'product': 'MacBook Pro'}
Do you have Kindle in space gray??,product_inquiry,"{'product': 'Kindle', 'color': 'space gray'}"
Has order #PN68046 shipped yet? thank you,order_status,{'order_id': 'PN68046'}
How do I return Kindle? thank you,refund_request,{'product': 'Kindle'}
"The Fitbit arrived damaged, I need a refund?",refund_request,{'product': 'Fitbit'}
I was wondering Do you have Samsung Galaxy in blue?,product_inquiry,"{'product': 'Samsung Galaxy', 'color': 'blue'}"
"Can you tell me The AirPods arrived damaged, I need a refund",refund_request,{'product': 'AirPods'}
"Hey, My password isn't working",account_help,{}
The website won't let me add to cart please,technical_support,{'action': 'add to cart'}
Do you have AirPods in blue? thank you,product_inquiry,"{'product': 'AirPods', 'color': 'blue'}"
"Hey, What's the status of order #KF80666?",order_status,{'order_id': 'KF80666'}
What's the status of order #GT34071? please,order_status,{'order_id': 'GT34071'}
When will Fitbit be back in stock? please,product_inquiry,{'product': 'Fitbit'}
"Hi, Do you have Nike Air Force in black?",product_inquiry,"{'product': 'Nike Air Force', 'color': 'black'}"
Can you tell me My password isn't working,account_help,{}
Do you have PlayStation 5 in white? please,product_inquiry,"{'product': 'PlayStation 5', 'color': 'white'}"
Do you have AirPods in silver? please,product_inquiry,"{'product': 'AirPods', 'color': 'silver'}"
What are the specs for the Nike Air Force? please,product_inquiry,{'product': 'Nike Air Force'}
Can you tell me The app crashes when I update payment info,technical_support,{'action': 'update payment info'}
How do I return PlayStation 5? thanks,refund_request,{'product': 'PlayStation 5'}
I'm getting error ERR_TIMEOUT when trying to update payment info thank you,technical_support,"{'action': 'update payment info', 'error_code': 'ERR_TIMEOUT'}"
"Hello, Has order #NS07940 shipped yet?",order_status,{'order_id': 'NS07940'}
The website won't let me update payment info...,technical_support,{'action': 'update payment info'}
Can you tell me I want to return my Dyson vacuum,refund_request,{'product': 'Dyson vacuum'}
"Hey, The website won't let me view my orders",technical_support,{'action': 'view my orders'}
"Hey, How do I reset my password?",account_help,{}
Can you tell me How do I return Dyson vacuum?,refund_request,{'product': 'Dyson vacuum'}
How do I return Samsung Galaxy? thanks,refund_request,{'product': 'Samsung Galaxy'}
"Hey, When will AirPods be back in stock?",product_inquiry,{'product': 'AirPods'}
"Hey, Do you have PlayStation 5 in white?",product_inquiry,"{'product': 'PlayStation 5', 'color': 'white'}"
Can you tell me How do I return PlayStation 5?,refund_request,{'product': 'PlayStation 5'}
My password isn't working thanks,account_help,{}
I can't login to my account please,account_help,{}
"Hey, The app crashes when I update payment info",technical_support,{'action': 'update payment info'}
"I was wondering The iPhone arrived damaged, I need a refund",refund_request,{'product': 'iPhone'}
Has order #EY42028 shipped yet? please,order_status,{'order_id': 'EY42028'}
How do I reset my password? please,account_help,{}
Has order #ZI13760 shipped yet??,order_status,{'order_id': 'ZI13760'}
I was wondering I can't login to my account,account_help,{}
I was wondering What are the specs for the Samsung Galaxy?,product_inquiry,{'product': 'Samsung Galaxy'}
How do I reset my password? thanks,account_help,{}
"Hi, Can you check where order SY38506 is?",order_status,{'order_id': 'SY38506'}
What's the status of order #GC19605? please,order_status,{'order_id': 'GC19605'}
I can't login to my account thanks,account_help,{}
The app crashes when I update payment info please,technical_support,{'action': 'update payment info'}
Can you tell me The website won't let me view my orders,technical_support,{'action': 'view my orders'}
I was wondering The app crashes when I login,technical_support,{'action': 'login'}
"The Dyson vacuum arrived damaged, I need a refund...",refund_request,{'product': 'Dyson vacuum'}
What are the specs for the iPhone? thank you,product_inquiry,{'product': 'iPhone'}
The app crashes when I add to cart...,technical_support,{'action': 'add to cart'}
"The Nike Air Force arrived damaged, I need a refund thank you",refund_request,{'product': 'Nike Air Force'}
Can you tell me Do you have AirPods in black?,product_inquiry,"{'product': 'AirPods', 'color': 'black'}"
"Hey, The app crashes when I view my orders",technical_support,{'action': 'view my orders'}
"Hello, I'm getting error ERR_TIMEOUT when trying to view my orders",technical_support,"{'action': 'view my orders', 'error_code': 'ERR_TIMEOUT'}"
How do I reset my password? thanks,account_help,{}
When will AirPods be back in stock??,product_inquiry,{'product': 'AirPods'}
"Hi, I'm getting error ERR_CONNECTION_REFUSED when trying to update payment info",technical_support,"{'action': 'update payment info', 'error_code': 'ERR_CONNECTION_REFUSED'}"
Can you check where order FX39417 is??,order_status,{'order_id': 'FX39417'}
"Hey, What's the status of order #MP78858?",order_status,{'order_id': 'MP78858'}
"Hi, I can't login to my account",account_help,{}
Can you tell me What are the specs for the MacBook Pro?,product_inquiry,{'product': 'MacBook Pro'}
Has order #FS95627 shipped yet?...,order_status,{'order_id': 'FS95627'}
How do I reset my password? thanks,account_help,{}
"Hello, I can't login to my account",account_help,{}
"Hey, I can't login to my account",account_help,{}
"Hello, The app crashes when I checkout",technical_support,{'action': 'checkout'}
What are the specs for the PlayStation 5?...,product_inquiry,{'product': 'PlayStation 5'}
"Hey, I'm getting error 404 when trying to checkout",technical_support,"{'action': 'checkout', 'error_code': '404'}"
"Hello, When will PlayStation 5 be back in stock?",product_inquiry,{'product': 'PlayStation 5'}
Can you tell me How do I reset my password?,account_help,{}
"Hi, What's the status of order #TZ35746?",order_status,{'order_id': 'TZ35746'}
"Hey, My password isn't working",account_help,{}
"Hey, What are the specs for the Dyson vacuum?",product_inquiry,{'product': 'Dyson vacuum'}
I was wondering I'm getting error 500 when trying to add to cart,technical_support,"{'action': 'add to cart', 'error_code': '500'}"
"Hello, How do I reset my password?",account_help,{}
"Hi, The app crashes when I add to cart",technical_support,{'action': 'add to cart'}
"Hey, What are the specs for the MacBook Pro?",product_inquiry,{'product': 'MacBook Pro'}
How do I return iPhone? thank you,refund_request,{'product': 'iPhone'}
Can you tell me How do I return Instant Pot?,refund_request,{'product': 'Instant Pot'}
The app crashes when I checkout please,technical_support,{'action': 'checkout'}
I'm getting error ERR_TIMEOUT when trying to login thanks,technical_support,"{'action': 'login', 'error_code': 'ERR_TIMEOUT'}"
When will Instant Pot be back in stock??,product_inquiry,{'product': 'Instant Pot'}
I'm getting error ERR_TIMEOUT when trying to add to cart thanks,technical_support,"{'action': 'add to cart', 'error_code': 'ERR_TIMEOUT'}"
How do I return Nike Air Force??,refund_request,{'product': 'Nike Air Force'}
"Hello, The Fitbit arrived damaged, I need a refund",refund_request,{'product': 'Fitbit'}
Can you tell me What are the specs for the MacBook Pro?,product_inquiry,{'product': 'MacBook Pro'}
Can you tell me Can you check where order HZ89325 is?,order_status,{'order_id': 'HZ89325'}
I want to return my iPhone thank you,refund_request,{'product': 'iPhone'}
I was wondering I'm getting error ERR_CONNECTION_REFUSED when trying to checkout,technical_support,"{'action': 'checkout', 'error_code': 'ERR_CONNECTION_REFUSED'}"
"Hi, When will Fitbit be back in stock?",product_inquiry,{'product': 'Fitbit'}
How do I reset my password??,account_help,{}
Can you tell me What's the status of order #HY69002?,order_status,{'order_id': 'HY69002'}
I can't login to my account?,account_help,{}
"Hello, My password isn't working",account_help,{}
Has order #FH42986 shipped yet? thanks,order_status,{'order_id': 'FH42986'}
How do I reset my password?...,account_help,{}
"Hi, How do I return PlayStation 5?",refund_request,{'product': 'PlayStation 5'}
Do you have iPhone in white? please,product_inquiry,"{'product': 'iPhone', 'color': 'white'}"
My password isn't working?,account_help,{}
The app crashes when I login...,technical_support,{'action': 'login'}
Can you tell me When will PlayStation 5 be back in stock?,product_inquiry,{'product': 'PlayStation 5'}
How do I reset my password? thank you,account_help,{}
Can you tell me My password isn't working,account_help,{}
"Hello, I'm getting error 404 when trying to view my orders",technical_support,"{'action': 'view my orders', 'error_code': '404'}"
"Hey, I can't login to my account",account_help,{}
Has order #OY36918 shipped yet? thank you,order_status,{'order_id': 'OY36918'}
Can you tell me Has order #AH83760 shipped yet?,order_status,{'order_id': 'AH83760'}
The app crashes when I checkout?,technical_support,{'action': 'checkout'}
I was wondering Can you check where order KU15020 is?,order_status,{'order_id': 'KU15020'}
The website won't let me update payment info please,technical_support,{'action': 'update payment info'}
Can you tell me When will PlayStation 5 be back in stock?,product_inquiry,{'product': 'PlayStation 5'}
Can you tell me What are the specs for the Dyson vacuum?,product_inquiry,{'product': 'Dyson vacuum'}
Can you tell me What are the specs for the AirPods?,product_inquiry,{'product': 'AirPods'}
"Hello, How do I reset my password?",account_help,{}
"Hi, What are the specs for the AirPods?",product_inquiry,{'product': 'AirPods'}
I'm getting error ERR_TIMEOUT when trying to add to cart please,technical_support,"{'action': 'add to cart', 'error_code': 'ERR_TIMEOUT'}"
"Hey, How do I return Fitbit?",refund_request,{'product': 'Fitbit'}
"Hello, What's the status of order #BX42119?",order_status,{'order_id': 'BX42119'}
Can you tell me How do I return PlayStation 5?,refund_request,{'product': 'PlayStation 5'}
I want to return my Dyson vacuum...,refund_request,{'product': 'Dyson vacuum'}
"Hi, I can't login to my account",account_help,{}
How do I return Fitbit? please,refund_request,{'product': 'Fitbit'}
The website won't let me login thanks,technical_support,{'action': 'login'}
"Hi, What are the specs for the AirPods?",product_inquiry,{'product': 'AirPods'}
I was wondering I can't login to my account,account_help,{}
"Hey, The website won't let me login",technical_support,{'action': 'login'}
I'm getting error ERR_CONNECTION_REFUSED when trying to login...,technical_support,"{'action': 'login', 'error_code': 'ERR_CONNECTION_REFUSED'}"
"Hey, The website won't let me add to cart",technical_support,{'action': 'add to cart'}
"Hello, My password isn't working",account_help,{}
"Hello, The app crashes when I view my orders",technical_support,{'action': 'view my orders'}
I was wondering I can't login to my account,account_help,{}
How do I reset my password??,account_help,{}
When will Samsung Galaxy be back in stock?...,product_inquiry,{'product': 'Samsung Galaxy'}
"Hello, The app crashes when I view my orders",technical_support,{'action': 'view my orders'}
"Hey, What's the status of order #OE01188?",order_status,{'order_id': 'OE01188'}
Has order #VF68545 shipped yet? please,order_status,{'order_id': 'VF68545'}
My password isn't working please,account_help,{}
"The Kindle arrived damaged, I need a refund thanks",refund_request,{'product': 'Kindle'}
The website won't let me add to cart thank you,technical_support,{'action': 'add to cart'}
I was wondering What's the status of order #GW78110?,order_status,{'order_id': 'GW78110'}
The app crashes when I update payment info...,technical_support,{'action': 'update payment info'}
I was wondering What are the specs for the Samsung Galaxy?,product_inquiry,{'product': 'Samsung Galaxy'}
Do you have Nike Air Force in black?...,product_inquiry,"{'product': 'Nike Air Force', 'color': 'black'}"
"Hello, My password isn't working",account_help,{}
"I was wondering The Kindle arrived damaged, I need a refund",refund_request,{'product': 'Kindle'}
"Hello, I want to return my AirPods",refund_request,{'product': 'AirPods'}
What's the status of order #SA08002??,order_status,{'order_id': 'SA08002'}
What's the status of order #CZ80052? thanks,order_status,{'order_id': 'CZ80052'}
I can't login to my account please,account_help,{}
The app crashes when I add to cart thank you,technical_support,{'action': 'add to cart'}
I was wondering What's the status of order #ZC72267?,order_status,{'order_id': 'ZC72267'}
"Hi, The website won't let me add to cart",technical_support,{'action': 'add to cart'}
Can you check where order UB74304 is??,order_status,{'order_id': 'UB74304'}
"Hi, I'm getting error ERR_CONNECTION_REFUSED when trying to view my orders",technical_support,"{'action': 'view my orders', 'error_code': 'ERR_CONNECTION_REFUSED'}"
Do you have AirPods in blue?...,product_inquiry,"{'product': 'AirPods', 'color': 'blue'}"
"Hi, Do you have AirPods in blue?",product_inquiry,"{'product': 'AirPods', 'color': 'blue'}"
I was wondering What's the status of order #MQ28779?,order_status,{'order_id': 'MQ28779'}
"Hello, Can you check where order JQ15270 is?",order_status,{'order_id': 'JQ15270'}
"The Nike Air Force arrived damaged, I need a refund...",refund_request,{'product': 'Nike Air Force'}
The app crashes when I update payment info...,technical_support,{'action': 'update payment info'}
"Hi, I'm getting error ERR_TIMEOUT when trying to checkout",technical_support,"{'action': 'checkout', 'error_code': 'ERR_TIMEOUT'}"
I'm getting error 404 when trying to add to cart thank you,technical_support,"{'action': 'add to cart', 'error_code': '404'}"
"The PlayStation 5 arrived damaged, I need a refund...",refund_request,{'product': 'PlayStation 5'}
I was wondering How do I reset my password?,account_help,{}
Has order #NC35704 shipped yet?...,order_status,{'order_id': 'NC35704'}
Do you have Samsung Galaxy in space gray? please,product_inquiry,"{'product': 'Samsung Galaxy', 'color': 'space gray'}"
"Hello, I can't login to my account",account_help,{}
How do I reset my password? please,account_help,{}
My password isn't working thanks,account_help,{}
"I was wondering The MacBook Pro arrived damaged, I need a refund",refund_request,{'product': 'MacBook Pro'}
"The PlayStation 5 arrived damaged, I need a refund thanks",refund_request,{'product': 'PlayStation 5'}
"Hello, The website won't let me view my orders",technical_support,{'action': 'view my orders'}
I can't login to my account...,account_help,{}
Can you tell me What's the status of order #CA60029?,order_status,{'order_id': 'CA60029'}
"Hi, How do I reset my password?",account_help,{}
Can you check where order UL03287 is? thank you,order_status,{'order_id': 'UL03287'}
"Hi, The Instant Pot arrived damaged, I need a refund",refund_request,{'product': 'Instant Pot'}
"The AirPods arrived damaged, I need a refund?",refund_request,{'product': 'AirPods'}
How do I return Kindle?...,refund_request,{'product': 'Kindle'}
How do I return Fitbit? thank you,refund_request,{'product': 'Fitbit'}
Do you have AirPods in black? thanks,product_inquiry,"{'product': 'AirPods', 'color': 'black'}"
"Hey, Can you check where order LC26727 is?",order_status,{'order_id': 'LC26727'}
"Hello, How do I reset my password?",account_help,{}
I'm getting error ERR_CONNECTION_REFUSED when trying to add to cart thanks,technical_support,"{'action': 'add to cart', 'error_code': 'ERR_CONNECTION_REFUSED'}"
Has order #MS23473 shipped yet??,order_status,{'order_id': 'MS23473'}
What's the status of order #DY93314? please,order_status,{'order_id': 'DY93314'}
I'm getting error 404 when trying to update payment info thank you,technical_support,"{'action': 'update payment info', 'error_code': '404'}"
Do you have PlayStation 5 in space gray? thank you,product_inquiry,"{'product': 'PlayStation 5', 'color': 'space gray'}"
When will Fitbit be back in stock? thanks,product_inquiry,{'product': 'Fitbit'}
Can you tell me How do I reset my password?,account_help,{}
I'm getting error ERR_CONNECTION_REFUSED when trying to update payment info...,technical_support,"{'action': 'update payment info', 'error_code': 'ERR_CONNECTION_REFUSED'}"
"Hey, What's the status of order #QY86912?",order_status,{'order_id': 'QY86912'}
I can't login to my account please,account_help,{}
Can you tell me The website won't let me add to cart,technical_support,{'action': 'add to cart'}
The website won't let me update payment info?,technical_support,{'action': 'update payment info'}
"Hey, When will Kindle be back in stock?",product_inquiry,{'product': 'Kindle'}
"Hi, I can't login to my account",account_help,{}
The website won't let me checkout thank you,technical_support,{'action': 'checkout'}
"Hey, I'm getting error 500 when trying to view my orders",technical_support,"{'action': 'view my orders', 'error_code': '500'}"
"Hello, Can you check where order RK86444 is?",order_status,{'order_id': 'RK86444'}
Can you check where order XQ43588 is?...,order_status,{'order_id': 'XQ43588'}
Can you check where order IS58433 is?...,order_status,{'order_id': 'IS58433'}
"Hello, The app crashes when I add to cart",technical_support,{'action': 'add to cart'}
Can you check where order XI18236 is? thank you,order_status,{'order_id': 'XI18236'}
When will PlayStation 5 be back in stock? thanks,product_inquiry,{'product': 'PlayStation 5'}
My password isn't working please,account_help,{}
I'm getting error 500 when trying to view my orders thanks,technical_support,"{'action': 'view my orders', 'error_code': '500'}"
